user_id,num_friends,messages_sent,group_activities_participated
213,29,96,4
214,191,155,5
215,166,135,1
216,100,366,5
217,78,965,7
218,83,971,5
219,189,839,9
220,193,946,4
221,192,835,6
222,62,646,5
223,102,133,2
224,150,46,9
225,134,788,3
226,106,99,8
227,144,794,4
228,5,977,0
229,72,199,7
230,156,215,4
231,115,790,0
232,65,400,2
233,126,78,5
234,172,249,6
235,34,778,0
236,184,622,3
237,154,591,5
238,64,788,3
239,26,920,7
240,128,92,4
241,96,991,5
242,24,265,2
243,57,544,3
244,119,517,5
245,77,536,1
246,160,457,5
247,137,575,6
248,90,212,7
249,124,79,3
250,48,294,7
251,50,805,9
252,155,56,5
253,14,832,3
254,139,108,2
255,108,489,3
256,166,282,2
257,178,848,6
258,55,980,4
259,23,60,1
260,147,951,5
261,111,301,7
262,107,132,4
263,103,458,5
264,70,547,5
265,108,717,1
266,49,68,2
267,157,647,0
268,167,226,6
269,140,99,9
270,23,778,8
271,73,836,5
272,99,104,4
273,170,846,9
274,11,718,0
275,96,70,1
276,45,165,6
277,144,90,4
278,55,788,5
279,177,737,2
280,165,586,8
281,134,997,1
282,9,830,3
283,126,410,1
284,182,871,0
285,48,460,7
286,15,919,9
287,46,799,5
288,37,18,1
289,131,34,0
290,69,226,3
291,163,511,9
292,17,196,5
293,167,180,1
294,166,948,4
295,123,55,2
296,182,485,8
297,105,534,3
298,123,654,4
299,96,124,2
300,194,189,9
301,14,507,4
302,141,192,4
303,13,342,4
304,40,476,6
305,195,794,3
306,40,5,4
307,172,911,3
308,42,534,4
309,25,90,3
310,99,753,2
311,86,932,3
312,17,736,5
313,168,542,2
314,131,947,1
315,196,57,8
316,171,879,3
317,184,295,8
318,65,952,2
319,190,262,4
320,29,28,0
321,50,69,3
322,39,65,0
323,192,854,0
324,140,869,5
325,65,642,8
326,113,236,3
327,19,956,7
328,88,857,9
329,100,597,9
330,95,827,6
331,111,396,4
332,42,324,6
333,185,35,8
334,173,80,8
335,17,949,0
336,187,798,0
337,177,785,1
338,126,219,3
339,73,232,8
340,187,859,7
341,163,623,9
342,144,900,0
343,172,904,6
344,151,728,8
345,116,892,4
346,25,18,0
347,107,394,9
348,173,857,0
349,71,114,1
350,63,523,0
351,78,940,6
352,98,35,4
353,11,959,5
354,165,800,2
355,128,646,3
356,85,385,7
357,10,259,5
358,6,722,2
359,139,196,5
360,105,938,7
361,175,750,8
362,17,620,0
363,20,690,9
364,113,61,4
365,149,954,5
366,12,449,1
367,63,411,4
368,96,572,8
369,16,862,5
370,91,474,5
371,152,82,0
372,114,615,3
373,69,389,2
374,9,917,2
375,78,682,9
376,187,479,2
377,180,591,3
378,115,16,4
379,150,719,7
380,43,544,9
381,76,666,5
382,139,479,6
383,153,206,2
384,128,949,8
385,5,262,6
386,18,72,8
387,184,99,8
388,37,861,8
389,19,49,3
390,54,519,7
391,17,75,9
392,86,698,4
393,37,357,0
394,70,571,5
395,185,515,5
396,133,18,4
397,48,651,6
398,106,930,3
399,102,956,9
400,90,395,0
401,197,697,4
402,67,501,1
403,148,541,5
404,151,397,3
405,38,744,1
406,171,683,1
407,192,561,1
408,19,219,0
409,56,669,4
410,183,392,3
411,50,95,4
412,96,925,5
413,118,397,4
414,73,117,1
415,40,683,7
416,99,131,8
417,186,161,6
418,18,598,6
419,93,448,2
420,8,576,2
421,42,16,1
422,199,306,3
423,111,259,8
424,165,246,3
425,44,190,0
426,190,939,4
427,11,116,1
428,89,241,7
429,187,905,9
430,128,530,3
431,60,320,8
432,111,763,4
433,141,640,8
434,182,288,0
435,139,366,1
436,175,442,6
437,174,505,0
438,73,402,8
439,198,144,2
440,122,928,6
441,166,986,3
442,43,755,0
443,139,586,3
444,100,505,7
445,181,374,8
446,182,268,0
447,170,177,7
448,140,713,5
449,10,100,9
450,108,812,6
451,177,716,1
452,109,137,1
453,166,122,5
454,117,137,7
455,66,949,4
456,86,909,0
457,48,130,9
458,119,325,0
459,189,794,3
460,64,903,9
461,189,126,9
462,195,154,3
463,71,335,8
464,155,312,0
465,73,288,9
466,23,651,7
467,178,367,0
468,20,299,5
469,28,355,6
470,72,820,3
471,104,701,2
472,171,693,9
473,89,783,2
474,69,152,9
475,151,593,7
476,27,682,5
477,35,139,5
478,11,103,7
479,27,509,6
480,80,181,2
481,120,335,3
482,34,903,0
483,179,16,9
484,43,851,1
485,168,289,6
486,19,449,3
487,37,730,5
488,167,957,4
489,98,325,1
490,94,821,1
491,106,34,4
492,27,509,6
493,114,628,9
494,62,37,5
495,160,359,5
496,175,539,0
497,9,959,2
498,146,698,4
499,11,180,5
500,185,70,5
501,87,266,6
502,7,432,3
503,17,66,2
504,81,272,9
505,135,383,9
506,62,646,6
507,122,655,7
508,167,516,1
509,61,964,5
510,127,170,0
511,92,757,8
512,77,448,6
513,95,517,7
514,56,12,3
515,6,680,7
516,83,982,7
517,16,756,7
518,6,22,4
519,43,481,8
520,187,411,3
521,55,647,2
522,68,756,7
523,96,269,6
524,40,259,9
525,155,452,6
526,194,259,9
527,147,485,5
528,62,25,1
529,167,546,5
530,71,382,9
531,57,774,3
532,115,810,4
533,110,103,9
534,117,420,4
535,119,778,7
536,108,790,4
537,120,284,7
538,40,149,8
539,39,716,7
540,123,381,1
541,78,730,3
542,124,112,7
543,17,682,4
544,28,252,9
545,73,691,1
546,85,237,6
547,93,332,5
548,144,406,0
549,97,637,8
550,80,747,9
551,93,3,2
552,33,573,2
553,7,544,8
554,126,334,7
555,164,167,0
556,112,858,3
557,25,250,1
558,190,317,6
559,173,293,8
560,11,217,9
561,7,941,3
562,76,422,1
563,11,779,4
564,148,365,2
565,25,587,6
566,147,688,6
567,41,776,4
568,162,154,3
569,125,338,9
570,187,261,9
571,61,679,8
572,178,603,2
573,179,753,6
574,74,224,9
575,71,933,2
576,96,444,4
577,63,85,1
578,20,863,3
579,32,200,1
580,34,863,5
581,182,764,4
582,190,798,8
583,16,724,5
584,173,850,6
585,6,159,2
586,26,340,8
587,41,591,2
588,192,14,9
589,185,342,1
590,83,289,9
591,54,474,3
592,9,7,2
593,101,410,9
594,176,572,5
595,7,131,6
596,55,881,1
597,161,246,4
598,132,42,2
599,140,396,2
600,177,829,9
601,160,975,3
602,11,102,8
603,138,790,9
604,56,195,0
605,10,357,5
606,26,224,0
607,155,219,2
608,96,16,9
609,192,922,4
610,165,91,3
611,147,913,0
612,15,716,0
613,25,655,7
614,90,278,5
615,16,359,9
616,145,750,9
617,172,464,0
618,184,314,9
619,28,7,7
620,182,46,8
621,7,938,9
622,190,233,1
623,126,287,4
624,168,544,9
625,128,601,7
626,124,151,0
627,81,125,7
628,187,624,4
629,118,397,0
630,31,14,7
631,14,102,2
632,27,123,9
633,185,545,7
634,117,913,7
635,171,587,5
636,64,398,0
637,16,401,9
638,22,901,7
639,114,667,2
640,87,594,7
641,106,801,9
642,134,147,7
643,45,155,3
644,124,670,4
645,45,391,2
646,23,81,5
647,182,761,2
648,101,302,6
649,110,516,0
650,29,976,5
651,49,108,7
652,65,552,4
653,172,424,2
654,110,533,8
655,69,965,4
656,127,535,4
657,123,63,3
658,35,915,2
659,98,100,4
660,80,489,4
661,152,105,9
662,107,580,5
663,181,890,1
664,79,416,1
665,134,739,1
666,140,930,1
667,13,534,2
668,158,995,2
669,190,519,2
670,101,562,0
671,139,238,3
672,162,911,2
673,177,655,0
674,142,299,8
675,119,622,2
676,197,108,0
677,61,633,6
678,97,321,9
679,64,563,5
680,111,429,4
681,135,638,9
682,50,920,6
683,164,486,6
684,72,719,6
685,34,706,0
686,84,243,6
687,46,858,1
688,116,50,1
689,151,270,9
690,172,515,2
691,126,94,5
692,195,608,3
693,163,896,3
694,9,437,2
695,59,121,8
696,198,438,9
697,68,527,4
698,181,8,0
699,66,896,5
700,69,343,6
701,104,296,9
702,25,985,9
703,140,245,4
704,10,851,3
705,175,939,5
706,58,383,4
707,150,606,7
708,169,303,9
709,139,292,1
710,172,269,7
711,166,667,2
712,43,912,8
713,192,544,2
714,87,91,0
715,179,939,9
716,20,576,1
717,97,68,5
718,183,172,2
719,77,932,0
720,83,518,6
721,139,859,5
722,10,330,9
723,159,323,3
724,142,459,5
725,193,985,8
726,153,985,9
727,76,744,4
728,196,663,4
729,151,611,2
730,162,77,2
731,100,415,2
732,107,189,6
733,189,668,3
734,162,168,7
735,176,569,7
736,80,455,0
737,131,848,2
738,71,922,9
739,17,890,4
740,150,300,1
741,140,348,9
742,164,74,1
743,8,674,5
744,175,556,7
745,87,210,3
746,131,862,3
747,180,566,7
748,106,982,3
749,57,432,9
750,60,231,5
751,80,599,2
752,17,636,0
753,105,212,6
754,197,902,7
755,183,818,4
756,51,394,7
757,22,169,1
758,103,41,3
759,95,136,8
760,57,163,0
761,183,482,2
762,42,425,4
763,92,563,7
764,119,685,9
765,150,408,3
766,191,978,2
767,104,213,5
768,108,772,7
769,131,591,1
770,69,431,4
771,72,770,8
772,37,863,4
773,159,500,5
774,134,849,2
775,47,250,8
776,67,365,5
777,185,900,2
778,183,951,4
779,106,165,6
780,175,333,7
781,147,375,1
782,26,298,2
783,151,701,4
784,8,522,5
785,24,716,6
786,155,231,3
787,177,764,5
788,190,259,3
789,74,478,7
790,180,699,9
791,181,574,1
792,170,252,1
793,25,376,3
794,93,494,1
795,157,683,8
796,161,626,4
797,90,131,8
798,173,883,5
799,86,495,7
800,156,649,6
801,19,412,9
802,138,190,0
803,139,177,3
804,127,738,6
805,186,396,8
806,186,527,1
807,161,44,0
808,109,469,1
809,61,698,8
810,176,524,1
811,70,181,8
812,146,680,6
813,154,53,9
814,147,669,5
815,182,20,0
816,180,170,8
817,196,80,8
818,175,43,0
819,17,100,5
820,47,110,4
821,5,673,2
822,81,621,7
823,128,735,4
824,106,117,6
825,43,882,9
826,17,703,3
827,12,586,8
828,143,636,9
829,74,184,0
830,72,7,7
831,180,476,8
832,28,685,6
833,89,15,5
834,68,929,5
835,21,228,5
836,19,555,0
837,17,201,8
838,122,814,2
839,140,236,2
840,42,279,0
841,141,677,2
842,122,269,2
843,71,713,9
844,44,139,2
845,63,905,7
846,17,788,0
847,47,122,6
848,82,905,9
849,103,56,0
850,162,754,8
851,120,529,5
852,89,770,1
853,144,883,3
854,93,834,7
855,178,327,8
856,24,480,3
857,60,180,8
858,122,657,5
859,10,957,6
860,192,77,2
861,128,775,1
862,153,914,2
863,164,528,0
864,126,681,8
865,8,877,4
866,172,473,9
867,190,458,3
868,164,577,0
869,51,614,3
870,56,829,4
871,85,267,3
872,45,748,0
873,161,241,9
874,79,655,0
875,81,30,7
876,42,143,1
877,90,547,8
878,51,159,4
879,117,653,5
880,14,242,4
881,112,570,0
882,102,201,6
883,197,502,9
884,164,238,1
885,106,442,9
886,37,485,6
887,163,413,5
888,9,771,0
889,106,323,1
890,73,255,6
891,168,207,4
892,13,968,4
893,180,149,2
894,5,355,8
895,22,869,4
896,105,42,0
897,82,696,1
898,22,623,4
899,66,671,1
900,22,479,7
901,63,445,8
902,129,187,4
903,156,519,7
904,53,624,4
905,82,692,3
906,86,938,7
907,177,649,2
908,154,319,7
909,133,316,2
910,25,289,1
911,17,535,1
912,186,773,1
913,57,885,2
914,179,907,1
915,79,787,5
916,194,618,7
917,134,684,8
918,72,889,5
919,160,908,9
920,162,508,9
921,184,246,5
922,122,907,3
923,173,10,1
924,118,234,5
925,112,613,0
926,116,463,9
927,120,326,6
928,27,157,2
929,183,532,7
930,97,615,8
931,62,413,2
932,58,234,9
933,174,837,6
934,7,748,2
935,18,902,2
936,107,43,3
937,166,623,4
938,71,181,6
939,20,119,7
940,108,513,7
941,72,410,1
942,182,657,7
943,183,211,8
944,140,672,6
945,7,720,9
946,119,638,7
947,109,450,0
948,106,19,2
949,28,351,1
950,186,503,6
951,125,613,7
952,70,396,1
953,58,99,1
954,43,40,5
955,133,679,5
956,127,892,5
957,157,103,5
958,98,400,7
959,111,725,1
960,109,974,3
961,41,334,2
962,188,11,1
963,191,391,4
964,14,469,6
965,143,348,4
966,145,626,3
967,105,139,9
968,39,803,5
969,53,520,5
970,126,375,2
971,186,911,5
972,183,877,7
973,115,600,4
974,18,781,4
975,197,545,5
976,136,485,3
977,124,89,2
978,197,93,1
979,35,983,7
980,69,51,3
981,38,211,9
982,189,894,2
983,13,209,4
984,145,44,8
985,113,209,3
986,16,558,3
987,116,980,3
988,162,658,3
989,183,704,6
990,92,294,2
991,189,750,8
992,126,878,1
993,195,905,2
994,20,754,2
995,8,0,9
996,98,316,5
997,24,611,4
998,94,199,0
999,19,540,4
1000,19,411,9
1001,42,425,7
1002,168,541,1
1003,85,671,1
1004,55,639,5
1005,91,177,9
1006,157,184,0
1007,103,900,9
1008,106,497,7
1009,137,304,1
1010,79,340,2
1011,7,483,6
1012,56,799,7
1013,37,200,9
1014,95,691,3
1015,29,801,4
1016,152,390,1
1017,168,434,9
1018,143,818,4
1019,182,981,8
1020,44,430,6
1021,81,756,4
1022,149,290,8
1023,116,419,6
1024,194,779,4
1025,43,93,2
1026,10,772,4
1027,61,454,3
1028,14,108,2
1029,93,556,3
1030,137,446,7
1031,192,833,4
1032,11,613,1
1033,179,739,8
1034,23,861,9
1035,136,788,2
1036,78,36,4
1037,176,73,3
1038,116,743,5
1039,22,665,5
1040,179,852,6
1041,93,713,3
1042,160,484,1
1043,186,161,0
1044,29,836,4
1045,98,48,2
1046,135,185,6
1047,140,896,8
1048,10,339,7
1049,75,337,9
1050,75,628,5
1051,42,482,2
1052,190,682,9
1053,77,408,1
1054,5,488,8
1055,88,869,2
1056,84,801,9
1057,182,507,2
1058,177,164,9
1059,80,171,1
1060,152,445,6
1061,52,593,5
1062,67,862,4
1063,58,935,4
1064,98,868,6
1065,155,331,7
1066,162,519,8
1067,130,278,1
1068,126,735,5
1069,93,853,5
1070,68,246,3
1071,115,424,9
1072,189,992,2
1073,104,748,2
1074,160,160,0
1075,21,371,3
1076,117,130,3
1077,117,74,2
1078,129,651,3
1079,103,616,2
1080,63,729,0
1081,22,72,2
1082,141,264,4
1083,185,822,0
1084,109,12,4
1085,30,910,5
1086,105,489,9
1087,96,368,5
1088,20,982,8
1089,112,169,4
1090,52,809,8
1091,114,280,6
1092,91,551,7
1093,135,605,8
1094,112,564,6
1095,189,701,3
1096,28,997,6
1097,9,88,1
1098,112,982,3
1099,70,622,4
1100,67,405,4
1101,172,78,0
1102,162,830,6
1103,31,369,1
1104,141,436,7
1105,45,630,0
1106,161,130,6
1107,105,717,2
1108,189,138,4
1109,83,447,1
1110,122,961,3
1111,195,874,9
1112,162,500,2
1113,27,494,6
1114,112,885,3
1115,182,293,5
1116,153,906,8
1117,186,287,7
1118,179,821,8
1119,87,214,8
1120,82,264,5
1121,6,126,3
1122,194,854,4
1123,126,288,2
1124,100,32,6
1125,129,760,7
1126,61,447,8
1127,180,642,6
1128,141,215,4
1129,34,670,2
1130,102,880,3
1131,166,483,0
1132,166,62,3
1133,107,306,6
1134,70,714,9
1135,42,470,2
1136,185,562,9
1137,189,900,5
1138,93,428,8
1139,28,337,7
1140,19,494,9
1141,68,770,8
1142,98,831,3
1143,53,288,2
1144,199,349,6
1145,134,299,5
1146,11,955,9
1147,168,818,4
1148,119,542,3
1149,139,231,9
1150,77,127,7
1151,126,732,0
1152,73,380,1
1153,116,658,1
1154,98,32,8
1155,123,885,9
1156,85,832,0
1157,109,492,1
1158,78,338,7
1159,7,545,2
1160,187,810,2
1161,58,706,0
1162,76,412,1
1163,160,825,0
1164,115,29,1
1165,188,969,0
1166,17,641,5
1167,132,496,6
1168,90,586,2
1169,9,4,7
1170,122,606,2
1171,101,35,6
1172,38,432,4
1173,81,764,7
1174,138,450,5
1175,112,665,4
1176,134,603,8
1177,56,644,1
1178,147,678,0
1179,170,670,6
1180,103,157,1
1181,173,496,4
1182,69,328,0
1183,169,902,0
1184,199,994,0
1185,42,889,0
1186,14,788,1
1187,102,900,1
1188,60,918,7
1189,102,158,0
1190,62,609,8
1191,14,979,4
1192,54,980,7
1193,132,434,3
1194,90,975,4
1195,119,664,1
1196,173,254,4
1197,146,134,4
1198,109,967,0
1199,70,542,0
1200,166,249,5
1201,103,1,3
1202,62,981,8
1203,28,449,7
1204,84,158,1
1205,85,526,3
1206,100,965,0
1207,146,67,9
1208,96,278,6
1209,195,23,7
1210,146,301,7
1211,10,614,4
1212,15,543,1
1213,159,27,4
1214,58,377,9
1215,94,792,1
1216,185,52,1
1217,29,244,8
1218,168,237,2
1219,150,370,9
1220,96,870,0
1221,60,141,4
1222,14,247,9
1223,104,745,7
1224,183,802,0
1225,42,204,2
1226,110,501,4
1227,115,852,4
1228,126,765,2
1229,107,41,4
1230,25,228,9
1231,94,74,4
1232,103,323,1
1233,126,303,1
1234,165,515,3
1235,157,904,7
1236,199,805,2
1237,23,185,8
1238,60,708,5
1239,98,268,4
1240,180,138,3
1241,173,326,5
1242,184,589,8
1243,140,575,1
1244,51,462,8
1245,113,608,0
1246,172,422,4
1247,49,503,1
1248,112,696,3
1249,65,362,3
1250,187,609,0
1251,76,686,6
1252,48,402,7
1253,151,140,3
1254,89,604,4
1255,87,3,2
1256,101,928,4
1257,26,899,8
1258,67,321,1
1259,124,617,9
1260,126,102,5
1261,135,832,6
1262,77,998,1
1263,99,504,6
1264,118,174,4
1265,180,269,0
1266,159,56,5
1267,152,673,4
1268,182,617,6
1269,143,619,6
1270,21,893,0
1271,182,755,8
1272,160,259,2
1273,54,435,9
1274,135,899,0
1275,199,982,5
1276,20,215,2
1277,142,439,4
1278,58,894,0
1279,70,123,7
1280,181,663,9
1281,178,217,1
1282,113,434,8
1283,104,931,1
1284,188,321,0
1285,18,966,1
1286,20,337,5
1287,79,751,7
1288,130,23,7
1289,43,987,9
1290,192,97,3
1291,45,124,1
1292,155,952,5
1293,33,9,8
1294,15,797,5
1295,142,435,6
1296,196,84,2
1297,20,630,6
1298,19,410,7
1299,188,580,9
1300,67,802,3
1301,29,791,4
1302,166,89,4
1303,72,960,7
1304,84,223,4
1305,90,649,4
1306,62,441,2
1307,10,632,2
1308,37,343,8
1309,151,655,9
1310,19,599,2
1311,96,937,0
1312,84,732,8
1313,171,916,0
1314,121,537,4
1315,48,812,1
1316,120,452,1
1317,64,195,3
1318,50,944,5
1319,75,540,2
1320,113,839,9
1321,93,199,3
1322,168,586,6
1323,166,355,6
1324,128,957,2
1325,71,383,0
1326,190,690,1
1327,116,524,8
1328,16,106,7
1329,173,503,3
1330,115,111,5
1331,24,249,5
1332,157,825,2
1333,97,422,6
1334,98,638,1
1335,151,536,7
1336,53,466,5
1337,134,803,1
1338,25,557,4
1339,127,216,1
1340,195,751,1
1341,145,992,2
1342,52,723,6
1343,129,268,9
1344,173,539,7
1345,163,415,4
1346,80,44,1
1347,113,186,7
1348,120,173,0
1349,84,624,1
1350,155,476,6
1351,84,828,8
1352,49,649,6
1353,170,531,6
1354,112,991,9
1355,16,91,6
1356,94,250,6
1357,148,715,5
1358,19,101,1
1359,74,309,9
1360,142,840,6
1361,116,487,3
1362,50,183,9
1363,87,210,3
1364,138,693,6
1365,102,752,7
1366,15,186,2
1367,135,94,9
1368,144,722,9
1369,37,329,1
1370,163,22,4
1371,172,872,4
1372,187,193,9
1373,158,424,5
1374,110,952,2
1375,77,121,0
1376,119,567,2
1377,11,126,4
1378,14,413,1
1379,172,991,5
1380,22,368,4
1381,174,289,0
1382,85,916,9
1383,32,910,2
1384,139,797,0
1385,30,53,1
1386,18,487,7
1387,71,177,9
1388,116,839,6
1389,37,530,4
1390,140,541,8
1391,101,88,7
1392,171,77,5
1393,175,130,5
1394,161,687,0
1395,12,530,2
1396,169,872,1
1397,28,976,8
1398,120,125,0
1399,146,952,6
1400,81,581,4
1401,117,694,1
1402,49,744,1
1403,75,695,5
1404,112,408,6
1405,114,311,1
1406,89,851,8
1407,199,888,5
1408,42,718,7
1409,90,592,3
1410,184,647,5
1411,62,680,1
1412,40,804,2
1413,35,767,6
1414,33,541,4
1415,146,452,2
1416,125,752,8
1417,45,699,9
1418,146,291,9
1419,183,301,1
1420,61,716,1
1421,9,330,3
1422,6,269,5
1423,86,656,2
1424,21,456,6
1425,124,126,1
1426,194,62,8
1427,189,328,9
1428,44,253,1
1429,138,498,0
1430,151,303,0
1431,96,502,1
1432,52,471,2
1433,158,23,8
1434,72,390,5
1435,115,413,7
1436,51,739,1
1437,84,992,1
1438,10,111,1
1439,151,81,1
1440,20,158,5
1441,91,421,8
1442,44,206,5
1443,142,425,9
1444,153,26,7
1445,127,183,3
1446,87,109,7
1447,159,977,9
1448,23,448,4
1449,146,285,8
1450,129,28,6
1451,187,953,8
1452,72,523,8
1453,166,139,0
1454,156,450,3
1455,180,90,1
1456,75,192,5
1457,123,865,0
1458,93,799,8
1459,107,680,3
1460,40,564,0
1461,86,232,1
1462,192,56,8
1463,13,806,3
1464,150,508,5
1465,157,282,0
1466,191,168,8
1467,193,833,7
1468,112,393,6
1469,75,470,8
1470,107,744,0
1471,140,596,9
1472,11,8,0
1473,148,922,0
1474,91,23,4
1475,54,710,8
1476,169,441,5
1477,39,905,1
1478,116,508,9
1479,157,47,3
1480,176,503,2
1481,182,577,1
1482,92,557,9
1483,107,221,3
1484,108,829,5
1485,119,168,3
1486,17,355,4
1487,81,109,7
1488,135,653,3
1489,77,416,5
1490,111,3,9
1491,28,563,4
1492,63,883,5
1493,59,309,0
1494,26,672,4
1495,32,114,1
1496,84,185,3
1497,177,151,6
1498,159,56,3
1499,47,575,8
1500,174,247,7
1501,120,781,9
1502,19,651,4
1503,30,560,1
1504,47,927,1
1505,188,607,6
1506,42,524,1
1507,69,829,1
1508,146,965,2
1509,90,932,0
1510,154,870,0
1511,123,744,4
1512,106,259,6
1513,22,841,8
1514,80,297,0
1515,58,188,2
1516,191,23,0
1517,43,587,1
1518,130,351,0
1519,15,686,1
1520,47,32,7
1521,38,77,1
1522,139,485,5
1523,28,742,5
1524,102,44,3
1525,143,201,6
1526,168,392,5
1527,70,833,0
1528,49,999,6
1529,6,419,0
1530,24,205,9
1531,106,484,7
1532,59,919,7
1533,169,966,7
1534,67,658,5
1535,38,859,7
1536,165,996,0
1537,139,650,1
1538,9,739,4
1539,193,221,0
1540,9,688,5
1541,5,95,3
1542,76,927,0
1543,176,889,9
1544,137,272,2
1545,76,968,2
1546,15,260,4
1547,36,409,6
1548,60,402,9
1549,24,940,9
1550,189,299,2
1551,171,848,0
1552,168,529,5
1553,191,641,4
1554,31,911,1
1555,42,436,7
1556,105,356,5
1557,32,256,3
1558,176,415,8
1559,77,206,1
1560,54,33,2
1561,132,723,0
1562,151,301,6
1563,189,885,1
1564,74,332,6
1565,156,894,8
1566,29,766,7
1567,10,235,0
1568,48,21,9
1569,64,97,5
1570,120,504,3
1571,170,382,4
1572,169,121,3
1573,92,688,9
1574,64,216,1
1575,120,276,9
1576,47,749,1
1577,165,682,7
1578,168,125,4
1579,190,259,4
1580,31,828,8
1581,62,736,8
1582,28,834,8
1583,30,614,2
1584,10,704,5
1585,59,353,8
1586,10,841,8
1587,124,46,9
1588,44,820,1
1589,133,774,7
1590,195,893,1
1591,173,597,6
1592,94,132,8
1593,56,463,7
1594,114,232,2
1595,59,604,5
1596,93,823,9
1597,110,132,5
1598,166,29,1
1599,161,185,6
1600,121,225,7
1601,153,986,5
1602,128,700,6
1603,12,649,3
1604,118,303,8
1605,128,329,1
1606,17,881,4
1607,43,790,1
1608,65,5,4
1609,35,794,8
1610,65,372,0
1611,198,691,3
1612,121,845,9
1613,148,111,5
1614,31,726,3
1615,56,161,3
1616,21,248,0
1617,65,80,0
1618,48,691,2
1619,62,865,9
1620,16,542,3
1621,28,277,6
1622,164,644,6
1623,154,328,0
1624,77,273,8
1625,164,276,1
1626,155,828,9
1627,125,767,0
1628,148,812,1
1629,32,69,9
1630,20,107,7
1631,55,503,4
1632,71,540,0
1633,6,978,0
1634,32,622,2
1635,50,102,1
1636,74,429,5
1637,126,946,1
1638,188,387,9
1639,180,683,4
1640,194,870,6
1641,194,127,2
1642,98,545,3
1643,67,171,9
1644,52,834,9
1645,66,365,8
1646,57,57,6
1647,169,987,8
1648,29,444,9
1649,131,843,1
1650,141,378,6
1651,154,393,0
1652,116,524,1
1653,101,284,4
1654,51,178,3
1655,79,173,1
1656,75,406,6
1657,141,534,9
1658,149,602,5
1659,53,107,7
1660,80,506,2
1661,136,822,1
